Object ID,Name,Centroid X µm,Centroid Y µm,Cell: CD15 (Opal 620) mean,Cell: H3Cit (Opal 690) mean,Cell: DAPI (DAPI) mean,Cell: CK (Alexa 488) mean,Cell: CD8 (Cy3) mean,Cell: MPO (Cy5) mean
a2b2b99b-4e86-4a37-a648-72db69463722,PathCellObject,767.95,128.72,0.0598,0.0448,0.4024,0.0007,0.1834,0.0929
69c110cd-d692-4c01-bf55-3de2e0dc1209,PathCellObject,855.1,129.02,0.023,0.0094,0.4165,0.0003,0.0704,0.0339
8c435640-a79d-4484-8d29-6187f12719fd,PathCellObject,905.72,128.62,0.0244,0.0117,0.3057,0.0001,0.177,0.0267
61fb3a1a-6f7d-4633-8930-9ffd97e09811,PathCellObject,913.25,130.02,0.0383,0.0118,0.3482,0.0005,0.1755,0.0327
607122e4-1034-4c96-9ab5-212dc416fceb,PathCellObject,931.52,129.9,0.0349,0.0133,0.3449,0.004,0.1788,0.0301
fbca1f3d-ef7b-43ef-8d59-0c3d967c009a,PathCellObject,796.82,129.99,0.0806,0.0201,0.4601,0.0026,0.191,0.0594
76f141a4-a44b-4565-883f-108853c4abea,PathCellObject,847.26,130.35,0.0253,0.0179,0.3623,0.0059,0.1415,0.0457
7df9e33f-ec8f-496f-a26a-1f875afe7e1d,PathCellObject,879.18,128.45,0.2626,0.0844,0.6744,0,0.1872,0.3168
d1eacdb4-0001-449d-8862-28848b43196f,PathCellObject,776.38,128.32,0.1351,0.0925,0.4542,0.0006,0.2486,0.2072
cd78dca4-cd55-42aa-b68f-30b5488d22b4,PathCellObject,807.26,129.84,0.2212,0.1797,0.6187,0.0053,0.246,0.4161
d70d3aad-e872-472b-ad6d-211b9529f1a2,PathCellObject,827.75,131.53,0.0341,0.02,0.3769,0.0021,0.1467,0.0639
d6cc8809-da72-4957-a822-cbbaef7c404d,PathCellObject,837.02,129.27,0.1016,0.1418,0.5818,0.0067,0.2437,0.4081
ebe1bfe1-6b6b-4f89-bd5f-b419409497ca,PathCellObject,863.71,132.37,0.2007,0.0833,0.508,0,0.2085,0.2943
80520737-9150-4e0a-aac0-5434f308988c,PathCellObject,922.25,130.63,0.1084,0.0365,0.088,0.0341,0.1891,0.103
d471647f-2ef6-488c-b636-6fec55c3c797,PathCellObject,888.52,132.59,0.0168,0.0067,0.414,0,0.0768,0.0208
81234d43-f3b0-4c97-8fd0-d25eb9dcf312,PathCellObject,899.23,133.72,0.0277,0.0065,0.2511,0.0076,0.076,0.0227
3167684e-ac9d-46eb-8cbd-ac87e29bbcc6,PathCellObject,713.39,135.59,0.0221,0.008,0.3614,0.0078,0.1842,0.0155
20125817-553f-4f0a-80d0-4006e5dcad62,PathCellObject,746.45,137.77,0.0185,0.0068,0.3352,0.0038,0.1459,0.013
07152015-8f22-421e-8776-347f6c529856,PathCellObject,842.75,136.63,0.0412,0.0404,0.2364,0.0038,0.1665,0.108
19ba941c-a31f-4636-8848-8da06a1cf394,PathCellObject,852.39,137.94,0.0209,0.0097,0.2247,0.0067,0.1025,0.0352
aaa2ec64-4c77-4e72-8f33-b520662b32b0,PathCellObject,835.21,137.66,0.1051,0.1543,0.6299,0.0026,0.2288,0.3946
a1ec528f-5bcb-4048-94af-186c54b14be7,PathCellObject,919.26,138.08,0.0524,0.0493,0.4019,0.0033,0.2241,0.1446
2f004b54-56aa-4633-89b2-017017f6cddf,PathCellObject,809.46,138.42,0.0715,0.0222,0.7232,0.0007,0.4062,0.0562
f21ab436-39f7-41a7-9a5f-6f6328c74651,PathCellObject,871.06,139.5,0.0545,0.0175,0.4469,0,0.1296,0.0648
50d56cdc-2215-4329-a93b-b3626e8473a2,PathCellObject,712.3,141.16,0.0198,0.0072,0.4021,0.0034,0.1596,0.0114
b5b56162-308b-4ffe-9b5c-a9b7d2070cfa,PathCellObject,910.09,142.42,0.0947,0.0455,0.1402,0,0.1513,0.1037
7ef435ed-769f-48c9-8e45-e478b7d832fb,PathCellObject,719.32,143.99,0.0181,0.0066,0.1594,0.0034,0.1382,0.0153
d13a5e25-3820-4a09-b67c-e8917ff6d942,PathCellObject,797.58,143.94,0.0247,0.0084,0.2758,0.0071,0.1695,0.0224
b3d10b8f-ba22-48db-a80f-d04eeed75a66,PathCellObject,830.02,143.45,0.0315,0.0188,0.5262,0.0227,0.1516,0.0544
cff6f9a0-8b2f-4f8b-8106-8268d9e79d66,PathCellObject,860.35,143.83,0.081,0.0314,0.4164,0,0.1478,0.1085
a26ca789-9b9a-4d7a-8969-d4ab7d60c38d,PathCellObject,947,143.93,0.1822,0.1416,0.3193,0,0.2962,0.3623
24e3caef-81ef-4c43-a160-6e848de627a9,PathCellObject,779.42,144.76,0.0166,0.0064,0.1669,0.0006,0.0996,0.02
9323730a-d3df-4246-80fa-59713bcd0d1b,PathCellObject,903.98,143.92,0.0178,0.0066,0.5011,0.0001,0.0931,0.0197
51f45456-7edd-43f9-bac6-39c43f16d698,PathCellObject,822.96,145.78,0.0222,0.0097,0.402,0.0137,0.1462,0.0258
9742d77d-8058-4e8e-ba97-212516d45c00,PathCellObject,843.36,147.88,0.0226,0.011,0.4291,0.0536,0.1429,0.0328
d186eaee-9df0-469c-984e-d580968402e1,PathCellObject,880.2,144.65,0.0562,0.0513,0.4227,0,0.1516,0.2082
d96ef92e-be74-413f-aeed-0532885650c4,PathCellObject,922.61,145.34,0.0738,0.0301,0.2618,0.0025,0.1531,0.0858
bd6ea2b7-101e-45cd-b317-e30c793d452f,PathCellObject,956.38,145.35,0.1066,0.0572,0.0789,0,0.244,0.1811
6041df0c-6248-455d-9e33-31d419df72ad,PathCellObject,972.17,146.72,0.0701,0.0241,0.3208,0.0059,0.1602,0.0843
a67b2ee4-1a9a-462d-8acd-afea06dbc209,PathCellObject,807.92,149.81,0.0255,0.0127,0.5234,0.0135,0.1723,0.0264
d9017700-1498-4273-b9c8-758e3534f089,PathCellObject,711.65,147.36,0.0181,0.0093,0.3965,0.0005,0.1396,0.0124
9efa12e3-cddf-400a-83ec-b93070ffd37e,PathCellObject,902.46,149.85,0.0168,0.0071,0.2796,0,0.0938,0.0198
d5d48c90-5c8e-48a4-80d6-f5a879003aa6,PathCellObject,760.07,152.96,0.0233,0.0101,0.8091,0.0025,0.1497,0.0268
78977937-988c-485f-906e-73d1be6c6917,PathCellObject,749.29,150.49,0.0207,0.0088,0.4154,0.0073,0.1298,0.0231
d9f0aab5-be0a-4f62-81a4-5e73f42f1049,PathCellObject,884.76,150.14,0.0228,0.0172,0.1315,0,0.1358,0.0589
db6685d8-382f-427a-a347-91f61e2d9f8d,PathCellObject,929.01,149.76,0.1765,0.0941,0.1059,0.0343,0.2355,0.253
